yolo,Protocolo,DataEnvio,FoiProrrogado,Anonimo,Ativo,usuario_nome,Nome,Ativo,agente_UF,agente_Poder,agente_Nivel_Federativo,agente_nome,status_final_pedido_nome,ano
38,59991157039,2015-05-27,0,0,1,Fiquem Sabendo,Companhia Ambiental do Estado de Sâo Paulo,1,São Paulo,Executivo,Estadual,Companhia Ambiental do Estado de Sâo Paulo,Atendido,2015
39,60067157040,2015-05-27,0,0,1,Fiquem Sabendo,Polícia Civil do Estado de São Paulo,1,São Paulo,Executivo,Estadual,Polícia Civil do Estado de São Paulo,Atendido,2015
40,60322157041,2015-05-27,0,0,1,Fiquem Sabendo,Secretaria Estadual da Administração Penitenciária,1,São Paulo,Executivo,Estadual,Secretaria Estadual da Administração Penitenciária,Atendido,2015
41,47529157070,2015-05-28,0,0,1,Fiquem Sabendo,Polícia Civil do Estado de São Paulo,1,São Paulo,Executivo,Estadual,Polícia Civil do Estado de São Paulo,Atendido,2015
42,83747157247,2015-06-01,0,0,1,Fiquem Sabendo,Companhia de Saneamento Básico do Estado de São Paulo,1,São Paulo,Executivo,Estadual,Companhia de Saneamento Básico do Estado de São Paulo,Atendido,2015
43,84616157249,2015-06-01,0,0,1,Fiquem Sabendo,Polícia Civil do Estado de São Paulo,1,São Paulo,Executivo,Estadual,Polícia Civil do Estado de São Paulo,Atendido,2015
44,85393157251,2015-06-01,0,0,1,Fiquem Sabendo,Companhia de Desenvolvimento Habitacional e Urbano do Estado de São Paulo,1,São Paulo,Executivo,Estadual,Companhia de Desenvolvimento Habitacional e Urbano do Estado de São Paulo,Atendido,2015
45,81154157374,2015-06-03,0,0,1,Fiquem Sabendo,Companhia de Desenvolvimento Habitacional e Urbano do Estado de São Paulo,1,São Paulo,Executivo,Estadual,Companhia de Desenvolvimento Habitacional e Urbano do Estado de São Paulo,Atendido,2015
46,83498157376,2015-06-03,0,0,1,Fiquem Sabendo,Companhia do Metropolitano de São Paulo,1,São Paulo,Executivo,Estadual,Companhia do Metropolitano de São Paulo,Atendido,2015
47,83575157377,2015-06-03,0,0,1,Fiquem Sabendo,Companhia Paulista de Trens Metropolitanos,1,São Paulo,Executivo,Estadual,Companhia Paulista de Trens Metropolitanos,Atendido,2015
48,83877157378,2015-06-03,0,0,1,Fiquem Sabendo,Secretaria Estadual da Segurança Pública,1,São Paulo,Executivo,Estadual,Secretaria Estadual da Segurança Pública,Atendido,2015
49,56639157465,2015-06-08,0,0,1,Fiquem Sabendo,Universidade de São Paulo,1,São Paulo,Executivo,Estadual,Universidade de São Paulo,Atendido,2015
50,57158157467,2015-06-08,0,0,1,Fiquem Sabendo,Secretaria Estadual da Habitação,1,São Paulo,Executivo,Estadual,Secretaria Estadual da Habitação,Atendido,2015
51,57442157468,2015-06-08,0,0,1,Fiquem Sabendo,Secretaria Estadual da Educação,1,São Paulo,Executivo,Estadual,Secretaria Estadual da Educação,Atendido,2015
52,63715157577,2015-06-10,0,0,1,Fiquem Sabendo,Secretaria Estadual da Administração Penitenciária,1,São Paulo,Executivo,Estadual,Secretaria Estadual da Administração Penitenciária,Atendido,2015
53,85115157589,2015-06-10,0,0,1,Fiquem Sabendo,Polícia Civil do Estado de São Paulo,1,São Paulo,Executivo,Estadual,Polícia Civil do Estado de São Paulo,Atendido,2015
54,85281157590,2015-06-10,0,0,1,Fiquem Sabendo,Polícia Civil do Estado de São Paulo,1,São Paulo,Executivo,Estadual,Polícia Civil do Estado de São Paulo,Atendido,2015
55,85912157592,2015-06-10,0,0,1,Fiquem Sabendo,Secretaria Estadual do Meio Ambiente,1,São Paulo,Executivo,Estadual,Secretaria Estadual do Meio Ambiente,Atendido,2015
56,85996157593,2015-06-10,0,0,1,Fiquem Sabendo,Secretaria Estadual do Meio Ambiente,1,São Paulo,Executivo,Estadual,Secretaria Estadual do Meio Ambiente,Atendido,2015
57,53642157686,2015-06-12,0,0,1,Fiquem Sabendo,Secretaria Estadual da Segurança Pública,1,São Paulo,Executivo,Estadual,Secretaria Estadual da Segurança Pública,Atendido,2015
58,53712157687,2015-06-12,0,0,1,Fiquem Sabendo,Polícia Civil do Estado de São Paulo,1,São Paulo,Executivo,Estadual,Polícia Civil do Estado de São Paulo,Atendido,2015
59,54838157690,2015-06-12,0,0,1,Fiquem Sabendo,Secretaria Estadual de Saúde,1,São Paulo,Executivo,Estadual,Secretaria Estadual de Saúde,Atendido,2015
60,84937157739,2015-06-14,0,0,1,Fiquem Sabendo,Secretaria Estadual da Educação,1,São Paulo,Executivo,Estadual,Secretaria Estadual da Educação,Atendido,2015
61,54481157930,2015-06-18,0,0,1,Fiquem Sabendo,Empresa Metropolitana de Transportes Urbanos de São Paulo S/A,1,São Paulo,Executivo,Estadual,Empresa Metropolitana de Transportes Urbanos de São Paulo S/A,Atendido,2015
62,54782157931,2015-06-18,0,0,1,Fiquem Sabendo,Polícia Civil do Estado de São Paulo,1,São Paulo,Executivo,Estadual,Polícia Civil do Estado de São Paulo,Atendido,2015
63,51730158147,2015-06-24,0,0,1,Fiquem Sabendo,Secretaria Estadual da Administração Penitenciária,1,São Paulo,Executivo,Estadual,Secretaria Estadual da Administração Penitenciária,Atendido,2015
64,53271158153,2015-06-24,0,0,1,Fiquem Sabendo,Polícia Civil do Estado de São Paulo,1,São Paulo,Executivo,Estadual,Polícia Civil do Estado de São Paulo,Atendido,2015
65,85547158191,2015-06-24,0,0,1,Fiquem Sabendo,Secretaria Estadual da Administração Penitenciária,1,São Paulo,Executivo,Estadual,Secretaria Estadual da Administração Penitenciária,Atendido,2015
66,55278158217,2015-06-25,0,0,1,Fiquem Sabendo,Secretaria Estadual da Educação,1,São Paulo,Executivo,Estadual,Secretaria Estadual da Educação,Atendido,2015
67,56933158223,2015-06-25,0,0,1,Fiquem Sabendo,Companhia de Saneamento Básico do Estado de São Paulo,1,São Paulo,Executivo,Estadual,Companhia de Saneamento Básico do Estado de São Paulo,Atendido,2015
68,57067158224,2015-06-25,0,0,1,Fiquem Sabendo,Companhia de Saneamento Básico do Estado de São Paulo,1,São Paulo,Executivo,Estadual,Companhia de Saneamento Básico do Estado de São Paulo,Atendido,2015
69,66158294,2015-06-27,0,0,1,Fiquem Sabendo,Polícia Civil do Estado de São Paulo,1,São Paulo,Executivo,Estadual,Polícia Civil do Estado de São Paulo,Atendido,2015
70,85014158328,2015-06-28,0,0,1,Fiquem Sabendo,Polícia Civil do Estado de São Paulo,1,São Paulo,Executivo,Estadual,Polícia Civil do Estado de São Paulo,Atendido,2015
71,53501/2016,2016-09-20,0,0,1,Livre.jor,Governo do Estado do Paraná,1,Paraná,Executivo,Estadual,Governo do Estado do Paraná,Atendido,2016
72,53500/2016,2016-09-20,0,0,1,Livre.jor,Governo do Estado do Paraná,1,Paraná,Executivo,Estadual,Governo do Estado do Paraná,Atendido,2016
73,53252/2016,2016-09-19,0,0,1,Livre.jor,Governo do Estado do Paraná,1,Paraná,Executivo,Estadual,Governo do Estado do Paraná,Atendido,2016
74,53250/2016,2016-09-19,0,0,1,Livre.jor,Governo do Estado do Paraná,1,Paraná,Executivo,Estadual,Governo do Estado do Paraná,Atendido,2016
75,49915/2016,2016-08-31,0,0,1,Livre.jor,Governo do Estado do Paraná,1,Paraná,Executivo,Estadual,Governo do Estado do Paraná,Atendido,2016
76,43813/2016,2016-08-02,0,0,1,Livre.jor,Governo do Estado do Paraná,1,Paraná,Executivo,Estadual,Governo do Estado do Paraná,Atendido,2016
77,42361/2016,2016-07-26,0,0,1,Livre.jor,Governo do Estado do Paraná,1,Paraná,Executivo,Estadual,Governo do Estado do Paraná,Atendido,2016
78,42225/2016,2016-07-26,0,0,1,Livre.jor,Governo do Estado do Paraná,1,Paraná,Executivo,Estadual,Governo do Estado do Paraná,Atendido,2016
79,42220/2016,2016-07-26,0,0,1,Livre.jor,Governo do Estado do Paraná,1,Paraná,Executivo,Estadual,Governo do Estado do Paraná,Atendido,2016
80,39047/2016,2016-07-07,0,0,1,Livre.jor,Governo do Estado do Paraná,1,Paraná,Executivo,Estadual,Governo do Estado do Paraná,Atendido,2016
81,39107/2016,2016-07-07,0,0,1,Livre.jor,Governo do Estado do Paraná,1,Paraná,Executivo,Estadual,Governo do Estado do Paraná,Atendido,2016
82,39680/2016,2016-07-11,0,0,1,Livre.jor,Governo do Estado do Paraná,1,Paraná,Executivo,Estadual,Governo do Estado do Paraná,Atendido,2016
83,41181/2016,2016-07-19,0,0,1,Livre.jor,Governo do Estado do Paraná,1,Paraná,Executivo,Estadual,Governo do Estado do Paraná,Atendido,2016
84,41177/2016,2016-07-19,0,0,1,Livre.jor,Governo do Estado do Paraná,1,Paraná,Executivo,Estadual,Governo do Estado do Paraná,Atendido,2016
85,41169/2016,2016-07-19,0,0,1,Livre.jor,Governo do Estado do Paraná,1,Paraná,Executivo,Estadual,Governo do Estado do Paraná,Atendido,2016
86,41173/2016,2016-07-19,0,0,1,Livre.jor,Governo do Estado do Paraná,1,Paraná,Executivo,Estadual,Governo do Estado do Paraná,Atendido,2016
87,41180/2016,2016-07-19,0,0,1,Livre.jor,Governo do Estado do Paraná,1,Paraná,Executivo,Estadual,Governo do Estado do Paraná,Atendido,2016
88,41209/2016,2016-07-19,0,0,1,Livre.jor,Governo do Estado do Paraná,1,Paraná,Executivo,Estadual,Governo do Estado do Paraná,Atendido,2016
89,41203/2016,2016-07-19,0,0,1,Livre.jor,Governo do Estado do Paraná,1,Paraná,Executivo,Estadual,Governo do Estado do Paraná,Atendido,2016
90,41205/2016,2016-07-19,0,0,1,Livre.jor,Governo do Estado do Paraná,1,Paraná,Executivo,Estadual,Governo do Estado do Paraná,Atendido,2016
91,41207/2016,2016-07-19,0,0,1,Livre.jor,Governo do Estado do Paraná,1,Paraná,Executivo,Estadual,Governo do Estado do Paraná,Atendido,2016
92,41210/2016,2016-07-19,0,0,1,Livre.jor,Governo do Estado do Paraná,1,Paraná,Executivo,Estadual,Governo do Estado do Paraná,Atendido,2016
93,41212/2016,2016-07-19,0,0,1,Livre.jor,Governo do Estado do Paraná,1,Paraná,Executivo,Estadual,Governo do Estado do Paraná,Atendido,2016
94,41213/2016,2016-07-19,0,0,1,Livre.jor,Governo do Estado do Paraná,1,Paraná,Executivo,Estadual,Governo do Estado do Paraná,Atendido,2016
95,41214/2016,2016-07-19,0,0,1,Livre.jor,Governo do Estado do Paraná,1,Paraná,Executivo,Estadual,Governo do Estado do Paraná,Atendido,2016
96,41216/2016,2016-07-19,0,0,1,Livre.jor,Governo do Estado do Paraná,1,Paraná,Executivo,Estadual,Governo do Estado do Paraná,Atendido,2016
97,41172/2016,2016-07-19,0,0,1,Livre.jor,Governo do Estado do Paraná,1,Paraná,Executivo,Estadual,Governo do Estado do Paraná,Atendido,2016
98,41170/2016,2016-07-19,0,0,1,Livre.jor,Governo do Estado do Paraná,1,Paraná,Executivo,Estadual,Governo do Estado do Paraná,Atendido,2016
99,41168/2016,2016-07-19,0,0,1,Livre.jor,Governo do Estado do Paraná,1,Paraná,Executivo,Estadual,Governo do Estado do Paraná,Atendido,2016
100,41166/2016,2016-07-19,0,0,1,Livre.jor,Governo do Estado do Paraná,1,Paraná,Executivo,Estadual,Governo do Estado do Paraná,Atendido,2016
101,41165/2016,2016-07-19,0,0,1,Livre.jor,Governo do Estado do Paraná,1,Paraná,Executivo,Estadual,Governo do Estado do Paraná,Atendido,2016
102,41163/2016,2016-07-19,0,0,1,Livre.jor,Governo do Estado do Paraná,1,Paraná,Executivo,Estadual,Governo do Estado do Paraná,Atendido,2016
103,41710/2016,2016-07-22,0,0,1,Livre.jor,Governo do Estado do Paraná,1,Paraná,Executivo,Estadual,Governo do Estado do Paraná,Atendido,2016
104,39671/2016,2016-07-11,0,0,1,Livre.jor,Governo do Estado do Paraná,1,Paraná,Executivo,Estadual,Governo do Estado do Paraná,Atendido,2016
105,39058/2016,2016-07-07,0,0,1,Livre.jor,Governo do Estado do Paraná,1,Paraná,Executivo,Estadual,Governo do Estado do Paraná,Atendido,2016
106,39107/2016,2016-07-07,0,0,1,Livre.jor,Governo do Estado do Paraná,1,Paraná,Executivo,Estadual,Governo do Estado do Paraná,Atendido,2016
107,37570/2016,2016-06-30,0,0,1,Livre.jor,Governo do Estado do Paraná,1,Paraná,Executivo,Estadual,Governo do Estado do Paraná,Atendido,2016
108,37570/2016,2016-06-30,0,0,1,Livre.jor,Governo do Estado do Paraná,1,Paraná,Executivo,Estadual,Governo do Estado do Paraná,Atendido,2016
109,37729/2016,2016-07-01,0,0,1,Livre.jor,Governo do Estado do Paraná,1,Paraná,Executivo,Estadual,Governo do Estado do Paraná,Atendido,2016
110,19333/2016,2016-03-28,0,0,1,Livre.jor,Governo do Estado do Paraná,1,Paraná,Executivo,Estadual,Governo do Estado do Paraná,Atendido,2016
111,27672/2016,2016-05-09,0,0,1,Livre.jor,Governo do Estado do Paraná,1,Paraná,Executivo,Estadual,Governo do Estado do Paraná,Atendido,2016
112,27167/2016,2016-05-05,0,0,1,Livre.jor,Governo do Estado do Paraná,1,Paraná,Executivo,Estadual,Governo do Estado do Paraná,Atendido,2016
113,31223/2016,2016-05-30,0,0,1,Livre.jor,Governo do Estado do Paraná,1,Paraná,Executivo,Estadual,Governo do Estado do Paraná,Atendido,2016
114,29401/2016,2016-05-18,0,0,1,Livre.jor,Governo do Estado do Paraná,1,Paraná,Executivo,Estadual,Governo do Estado do Paraná,Atendido,2016
115,34615/2016,2016-06-17,0,0,1,Livre.jor,Governo do Estado do Paraná,1,Paraná,Executivo,Estadual,Governo do Estado do Paraná,Atendido,2016
116,33539/2016,2016-06-10,0,0,1,Livre.jor,Governo do Estado do Paraná,1,Paraná,Executivo,Estadual,Governo do Estado do Paraná,Atendido,2016
117,33062/2016,2016-06-08,0,0,1,Livre.jor,Governo do Estado do Paraná,1,Paraná,Executivo,Estadual,Governo do Estado do Paraná,Atendido,2016
118,33063/2016,2016-06-08,0,0,1,Livre.jor,Governo do Estado do Paraná,1,Paraná,Executivo,Estadual,Governo do Estado do Paraná,Atendido,2016
119,33060/2016,2016-06-08,0,0,1,Livre.jor,Governo do Estado do Paraná,1,Paraná,Executivo,Estadual,Governo do Estado do Paraná,Atendido,2016
120,23709/2016,2016-04-15,0,0,1,Livre.jor,Governo do Estado do Paraná,1,Paraná,Executivo,Estadual,Governo do Estado do Paraná,Atendido,2016
121,20348/2016,2016-04-01,0,0,1,Livre.jor,Governo do Estado do Paraná,1,Paraná,Executivo,Estadual,Governo do Estado do Paraná,Atendido,2016
122,22435/2016,2016-04-11,0,0,1,Livre.jor,Governo do Estado do Paraná,1,Paraná,Executivo,Estadual,Governo do Estado do Paraná,Atendido,2016
123,18053/2016,2016-03-22,0,0,1,Livre.jor,Governo do Estado do Paraná,1,Paraná,Executivo,Estadual,Governo do Estado do Paraná,Atendido,2016
124,16488/2016,2016-03-15,0,0,1,Livre.jor,Governo do Estado do Paraná,1,Paraná,Executivo,Estadual,Governo do Estado do Paraná,Atendido,2016
125,12311/2016,2016-02-26,0,0,1,Livre.jor,Governo do Estado do Paraná,1,Paraná,Executivo,Estadual,Governo do Estado do Paraná,Atendido,2016
126,10532/2016,2016-02-19,0,0,1,Livre.jor,Governo do Estado do Paraná,1,Paraná,Executivo,Estadual,Governo do Estado do Paraná,Atendido,2016
127,10529/2016,2016-02-19,0,0,1,Livre.jor,Governo do Estado do Paraná,1,Paraná,Executivo,Estadual,Governo do Estado do Paraná,Atendido,2016
128,1888/2016,2016-01-11,0,0,1,Livre.jor,Governo do Estado do Paraná,1,Paraná,Executivo,Estadual,Governo do Estado do Paraná,Atendido,2016
129,1884/2016,2016-01-11,0,0,1,Livre.jor,Governo do Estado do Paraná,1,Paraná,Executivo,Estadual,Governo do Estado do Paraná,Atendido,2016
130,2016/1644,2016-07-06,0,0,1,Livre.jor,Governo do Estado do Paraná,1,Paraná,Executivo,Estadual,Governo do Estado do Paraná,Atendido,2016
131,RIO-13961554-6,2016-09-11,0,0,1,Agência Lupa,Prefeitura de Rio de Janeiro,1,Rio de Janeiro,Executivo,Municipal,Prefeitura de Rio de Janeiro,Atendido,2016
132,74-000722/2016,2016-06-30,1,0,1,Livre.jor,Prefeitura de Curitiba,1,Paraná,Executivo,Municipal,Prefeitura de Curitiba,Atendido,2016
133,2,2012-08-24,0,0,1,Controladoria Geral do Município de São Paulo,SMG - Secretaria Municipal de Gestão,1,São Paulo,Executivo,Municipal,SMG - Secretaria Municipal de Gestão,Atendido,2012
134,4,2012-08-27,0,0,1,Controladoria Geral do Município de São Paulo,COHAB - Companhia Metropolitana de Habitação,1,São Paulo,Executivo,Municipal,COHAB - Companhia Metropolitana de Habitação,Atendido,2012
135,6,2012-08-31,0,0,1,Controladoria Geral do Município de São Paulo,SES - Secretaria Municipal de Serviços,1,São Paulo,Executivo,Municipal,SES - Secretaria Municipal de Serviços,Atendido,2012
136,7,2012-09-01,0,0,1,Controladoria Geral do Município de São Paulo,SMS - Secretaria Municipal da Saúde,1,São Paulo,Executivo,Municipal,SMS - Secretaria Municipal da Saúde,Atendido,2012
137,8,2012-09-03,0,0,1,Controladoria Geral do Município de São Paulo,SPIQ - Subprefeitura Itaquera,1,São Paulo,Executivo,Municipal,SPIQ - Subprefeitura Itaquera,Atendido,2012
138,10,2012-09-03,0,0,1,Controladoria Geral do Município de São Paulo,SPTrans - São Paulo Transportes S/A,1,São Paulo,Executivo,Municipal,SPTrans - São Paulo Transportes S/A,Atendido,2012
139,11,2012-09-04,1,0,1,Controladoria Geral do Município de São Paulo,SMS - Secretaria Municipal da Saúde,1,São Paulo,Executivo,Municipal,SMS - Secretaria Municipal da Saúde,Atendido,2012
140,14,2012-09-06,0,0,1,Controladoria Geral do Município de São Paulo,SME - Secretaria Municipal de Educação,1,São Paulo,Executivo,Municipal,SME - Secretaria Municipal de Educação,Atendido,2012
141,15,2012-09-09,0,0,1,Controladoria Geral do Município de São Paulo,Prodam - Empresa de Tecnologia da Informação e Comunicação do Município de São Paulo,1,São Paulo,Executivo,Municipal,Prodam - Empresa de Tecnologia da Informação e Comunicação do Município de São Paulo,Atendido,2012
142,16,2012-09-10,1,0,1,Controladoria Geral do Município de São Paulo,CET - Companhia de Engenharia de Tráfego,1,São Paulo,Executivo,Municipal,CET - Companhia de Engenharia de Tráfego,Atendido,2012
143,17,2012-09-11,0,0,1,Controladoria Geral do Município de São Paulo,SMADS - Secretaria Municipal de Assistência e Desenvolvimento Social,1,São Paulo,Executivo,Municipal,SMADS - Secretaria Municipal de Assistência e Desenvolvimento Social,Atendido,2012
144,18,2012-09-11,0,0,1,Controladoria Geral do Município de São Paulo,SMADS - Secretaria Municipal de Assistência e Desenvolvimento Social,1,São Paulo,Executivo,Municipal,SMADS - Secretaria Municipal de Assistência e Desenvolvimento Social,Atendido,2012
145,19,2012-09-11,0,0,1,Controladoria Geral do Município de São Paulo,GCM - Guarda Civil Metropolitana,1,São Paulo,Executivo,Municipal,GCM - Guarda Civil Metropolitana,Atendido,2012
146,20,2012-09-13,1,0,1,Controladoria Geral do Município de São Paulo,SMS - Secretaria Municipal da Saúde,1,São Paulo,Executivo,Municipal,SMS - Secretaria Municipal da Saúde,Atendido,2012
147,21,2012-09-13,1,0,1,Controladoria Geral do Município de São Paulo,SMS - Secretaria Municipal da Saúde,1,São Paulo,Executivo,Municipal,SMS - Secretaria Municipal da Saúde,Atendido,2012
148,22,2012-09-13,0,0,1,Controladoria Geral do Município de São Paulo,SMCU - Secretaria Especial de Controle Urbano,1,São Paulo,Executivo,Municipal,SMCU - Secretaria Especial de Controle Urbano,Atendido,2012
149,24,2012-09-17,0,0,1,Controladoria Geral do Município de São Paulo,SF - Secretaria Municipal de Finanças e Desenvolvimento Econômico,1,São Paulo,Executivo,Municipal,SF - Secretaria Municipal de Finanças e Desenvolvimento Econômico,Atendido,2012
150,25,2012-09-17,1,0,1,Controladoria Geral do Município de São Paulo,SMS - Secretaria Municipal da Saúde,1,São Paulo,Executivo,Municipal,SMS - Secretaria Municipal da Saúde,Atendido,2012
151,27,2012-09-17,0,0,1,Controladoria Geral do Município de São Paulo,SF - Secretaria Municipal de Finanças e Desenvolvimento Econômico,1,São Paulo,Executivo,Municipal,SF - Secretaria Municipal de Finanças e Desenvolvimento Econômico,Atendido,2012
